question,question_sub,answer,answer_sub,ef_factor,category_id,created_at,modified_at
executive,,"(명) 경영진, 임원 | (형) 경영의, 운영의",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
inventory,,"(명) 재고, 재고 목록 | (명) 재고 조사",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
feature,,"(명) 특징, 특색 | (명) 특집 기사",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
acknowledge,,(동) 수신을 인정하다 | (동) 감사를 표현하다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
voucher,,"(명) 상품권, 바우처 | (명) 영수증, 증명서",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
estimate,,"(명) 견적서, 평가 | (동) 추산하다, 평가하다",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
resume,,(동) 재개하다 | (명) 이력서,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
issue,,"(명) 문제, 이슈 | (동) 발행하다",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
property,,"(명) 재산, 소유물 | (명) 부동산",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
eligible,,(형) 자격이 있는 | (형) 적격의,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
initiative,,"(명) 주도권 | (명) 새로운 계획, 선도적 행 동",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
culinary,,"(형) 요리의, 음식의",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
extensive,,(형) 광범위한 | (형) 대규모의,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
deposit,,"(명) 예치금, 보증금 | (명) 침전물",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
retail,,(명) 소매 (형) 소매의,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
affordable,,(형) 가격이 알맞은,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
grant,,(동) 승인하다 | (동) 수여하다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
significantly,,"(부) 상당히, 현저하게 | (부) 중요한 정도로, 의미 있 게",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
reserve,,(동) 예약하다 | (동) 보유하다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
application,,"(명) 신청, 지원서 | (명) 적용, 응용",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
address,,(명) 주소 | (동) 문제를 다루다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
suppose,,(동) 추정하다 | (동) 생각하다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
charge,,(명) 요금 | (명) 책임,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
expire,,(동) 기한이 만료되다 | (동) 효력이 끝나다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
refund,,(명) 환불 | (동) 환불하다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
promote,,(동) 촉진하다 | (동) 승진시키다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
revenue,,"(명) 수익, 수입 | (명) 세입",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
opportunity,,"(명) 기회 | (명) 적기, 호기",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
valid,,(형) 유효한 | (형) 타당한,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
confidential,,"(형) 기밀의, 비밀의 | (형) 신뢰를 요하는",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
figure,,(명) 숫자 | (명) 인물,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
traffic,,"(명) 교통, 차량의 흐름 | (명) 인터넷 트래픽, 데이터 흐름",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
audience,,"(명) 청중, 관객 | (명) 독자",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
occupy,,(동) 공간을 차지하다 | (동) 시간이나 주의를 차지하 다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
approximately,,(부) 대략 | (부) 거의,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
complimentary,,(형) 무료의 | (형) 칭찬의,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
outstanding,,"(형) 미해결의, 미지불된 | (형) 뛰어난, 두드러진",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
imperative,,"(형) 긴급한, 필수적인 | (명) 긴급한 문제, 필수적인 것",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
substantial,,"(형) 상당한 | (형) 실질적인, 실제의",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
decline,,(동) 감소하다 | (동) 거절하다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
balance,,(명) 균형 | (명) 잔액,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
account,,"(명) 계좌 | (명) 설명, 설명서",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
proceed,,"(동) 계속하다, 진행하다 | (동) 시작하다",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
amenities,,"(명) 편의시설 | (명) 예의, 기품",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
renowned,,(형) 유명한,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
preserve,,(동) 보존하다 | (명) 저장식품,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
simply,,"(부) 단순하게, 간결하게 | (부) 그저, 단지",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
presence,,"(명) 존재, 출석 | (명) 풍모, 영향력",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
laboratory,,(명) 실험실,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
effective,,(형) 효과적인 | (형) 효력을 발휘하는,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
enhance,,(동) 향상시키다 | (동) 강화하다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
insurance,,(명) 보험,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
spacious,,"(형) 넓은, 공간이 많은 | (형) 마음이 넓은, 너그러운",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
ingredient,,"(명) | (요리 및 화학 물질의) 재료, 성분 | (명) (성공 등의) 요소",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
withdraw,,(동) 철회하다 | (동) 철수하다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
banquet,,"(명) 연회, 만찬 | (명) 성대한 식사",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
experiment,,(명) 실험 | (동) 실험하다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
specific,,"(형) 구체적인, 명확한 (형) 특정한",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
specialize,,(동) 전문화하다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
affect,,"(동) 영향을 미치다 | (명) 정서, 감정 (주로 심리학 에서 사용됨)",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
equip,,(동) 장비를 제공하다 | (동) 준비시키다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
reimbursement,,"(명) 환급, 상환 | (명) 보상",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
premises,,"(명) 건물과 토지, 부지 | (명) 구내",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
renovate,,"(동) 수리하다, 개조하다",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
versatile,,(형) 다재다능한 | (형) 다용도의,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
implement,,"(동) 실행하다 | (명) 도구, 장치",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
informed,,(형) 정보에 기반한,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
commitment,,(명) 약속 | (명) 헌신,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
direct,,"(형) 직접적인 | (동) 명령하다, 지시하다",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
facilitate,,"(동) 용이하게 하다, 촉진 하다",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
commission,,(명) 수수료 | (명) 위원회,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
cover,,(동) 덮다 | (동) 포함하다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
encourage,,(동) 격려하다 | (동) 촉진하다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
persuade,,(동) 설득하다 | (동) 납득시키다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
accompany,,"(동) 동반하다, 함께 가다 | (동) 수반하다, 동반하다",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
candidate,,"(명) 후보자, 지원자 | (명) 시험응시자",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
renew,,(동) 갱신하다 | (동) 재개하다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
launch,,(동) 출시하다 | (동) 시작하다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
reliable,,"(형) 믿을 수 있는, 신뢰할 수 있는 | (명) 신뢰성, 확실성",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
inform,,(동) 알리다 | (동) 정보 제공하다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
contribute,,(동) 기여하다 | (동) 기부하다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
strategy,,"(명) 전략 | (명) 전술, 방법",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
motivate,,"(동) 동기부여하다 | (동) 유도하다, 자극하다",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
consider,,(동) 고려하다 | (동) ~라고 여기다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
remind,,(동) 상기시키다 | (동) 떠올리게 하다,,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
suitable,,"(형) 적합한, 알맞은 | (형) 어울리는",,2.5,5,2026-02-03 11:57:27,2026-02-03 11:57:27
